#Sp1	#Sp2	#Cor	#type
ESV_2	ESV_2735	-0.7702	2
ESV_2	ESV_2767	-0.4811	2
ESV_2	ESV_2834	-0.4497	2
ESV_2	ESV_2836	-0.6566	2
ESV_2	ESV_2853	-0.5353	2
ESV_2	ESV_2902	-0.4699	2
ESV_2	ESV_2969	-0.6943	2
ESV_2	ESV_3055	-0.476	2
ESV_2	ESV_3189	0.4408	1
ESV_2	ESV_3224	-0.6138	2
ESV_2	ESV_3524	0.5027	1
ESV_2	ESV_3540	-0.7308	2
ESV_2	ESV_3765	-0.4852	2
ESV_2	ESV_3838	-0.5121	2
ESV_2	ESV_3867	0.4502	1
ESV_2	ESV_4643	-0.4497	2
ESV_2	ESV_4828	-0.6525	2
ESV_2	ESV_4909	0.4413	1
ESV_2	ESV_5141	-0.4528	2
ESV_2	ESV_5323	-0.4827	2
ESV_2	ESV_5536	-0.464	2
ESV_2	ESV_5970	-0.4562	2
ESV_2	ESV_6374	0.5046	1
ESV_3	ESV_4	-0.5492	2
ESV_3	ESV_8	-0.5541	2
ESV_3	ESV_9	-0.4978	2
ESV_3	ESV_12	0.9954	1
ESV_3	ESV_13	-0.5954	2
ESV_3	ESV_16	-0.4959	2
ESV_3	ESV_19	-0.5459	2
ESV_3	ESV_20	-0.6814	2
ESV_3	ESV_28	-0.4463	2
ESV_3	ESV_35	-0.5469	2
ESV_3	ESV_40	-0.4589	2
ESV_3	ESV_45	-0.4925	2
ESV_3	ESV_48	-0.5113	2
ESV_3	ESV_51	-0.5197	2
ESV_3	ESV_56	-0.493	2
ESV_3	ESV_57	-0.5078	2
ESV_3	ESV_59	0.4595	1
ESV_3	ESV_65	-0.5175	2
ESV_3	ESV_71	-0.5621	2
ESV_3	ESV_74	0.5284	1
ESV_3	ESV_78	-0.4594	2
ESV_3	ESV_80	-0.4471	2
ESV_3	ESV_81	-0.4634	2
ESV_3	ESV_85	-0.588	2
ESV_3	ESV_100	-0.4989	2
ESV_3	ESV_106	-0.5357	2
ESV_3	ESV_112	-0.4958	2
ESV_3	ESV_124	-0.5011	2
ESV_3	ESV_129	-0.6412	2
ESV_3	ESV_136	-0.4823	2
ESV_3	ESV_142	-0.5566	2
ESV_3	ESV_157	-0.5388	2
ESV_3	ESV_159	-0.4684	2
ESV_3	ESV_160	-0.5314	2
ESV_3	ESV_161	-0.4254	2
ESV_3	ESV_168	-0.5642	2
ESV_3	ESV_182	-0.4829	2
ESV_3	ESV_183	-0.5344	2
ESV_3	ESV_184	-0.4284	2
ESV_3	ESV_188	-0.5677	2
ESV_3	ESV_194	-0.4617	2
ESV_3	ESV_200	-0.4497	2
ESV_3	ESV_206	0.4363	1
ESV_3	ESV_216	-0.5906	2
ESV_3	ESV_227	-0.4649	2
ESV_3	ESV_232	-0.617	2
ESV_3	ESV_256	-0.4638	2
ESV_3	ESV_258	0.7524	1
ESV_3	ESV_263	-0.5064	2
ESV_3	ESV_277	-0.4942	2
ESV_3	ESV_285	-0.5722	2
ESV_3	ESV_290	-0.5199	2
ESV_3	ESV_335	-0.4353	2
ESV_3	ESV_402	-0.4291	2
ESV_3	ESV_485	-0.4243	2
ESV_3	ESV_501	-0.4137	2
ESV_3	ESV_517	-0.4318	2
ESV_3	ESV_524	-0.5346	2
ESV_3	ESV_558	-0.4693	2
ESV_3	ESV_583	-0.5352	2
ESV_3	ESV_610	-0.4591	2
ESV_3	ESV_616	-0.4425	2
ESV_3	ESV_689	-0.4958	2
ESV_3	ESV_694	-0.4228	2
ESV_3	ESV_696	-0.5657	2
ESV_3	ESV_810	-0.4521	2
ESV_3	ESV_831	0.4683	1
ESV_3	ESV_950	0.4284	1
ESV_3	ESV_1325	0.4941	1
ESV_3	ESV_1362	0.4704	1
ESV_3	ESV_1364	0.4162	1
ESV_3	ESV_1379	0.5001	1
ESV_3	ESV_1470	0.413	1
ESV_3	ESV_1511	0.4155	1
ESV_3	ESV_1824	0.5374	1
ESV_3	ESV_2408	0.4771	1
ESV_3	ESV_2412	0.6186	1
ESV_3	ESV_2516	0.583	1
ESV_3	ESV_2539	0.4288	1
ESV_3	ESV_2966	0.4348	1
ESV_3	ESV_3040	0.4382	1
ESV_3	ESV_3133	0.7171	1
ESV_3	ESV_3187	0.5972	1
ESV_3	ESV_3331	0.48	1
ESV_3	ESV_3832	0.4873	1
ESV_3	ESV_4502	0.4581	1
ESV_3	ESV_4781	0.4552	1
ESV_3	ESV_5105	0.4223	1
ESV_3	ESV_5536	0.4963	1
ESV_3	ESV_5970	0.4815	1
ESV_3	ESV_6165	0.4487	1
ESV_3	ESV_6275	0.4379	1
ESV_3	ESV_6352	0.4743	1
ESV_3	ESV_6459	0.468	1
ESV_3	ESV_7154	0.4599	1
ESV_3	ESV_7279	0.5334	1
ESV_3	ESV_7373	0.4396	1
ESV_3	ESV_7584	0.4468	1
ESV_3	ESV_7735	0.4388	1
ESV_3	ESV_7819	0.4677	1
